soc_code,isco_code,occupation,fo_probability,task_routine,task_cognitive,task_manual,lmic_note,risk_category,region,lmic_calibration_factor,lmic_adjusted_probability,lmic_risk_category
11-1011,1120,Chief executives,0.016,0.1,0.95,0.1,Social/strategic tasks protect from automation globally,Low,Sub-Saharan Africa,0.65,0.01,Low
11-1021,1219,General and operations managers,0.016,0.2,0.9,0.1,,Low,Sub-Saharan Africa,0.65,0.01,Low
11-2021,1221,Marketing managers,0.014,0.2,0.9,0.05,,Low,Sub-Saharan Africa,0.65,0.009,Low
11-3011,1219,Administrative services managers,0.73,0.65,0.55,0.1,Admin coordination partially routine; higher LMIC risk,High,Sub-Saharan Africa,0.65,0.474,Medium
11-3031,1211,Financial managers,0.069,0.3,0.85,0.05,,Low,Sub-Saharan Africa,0.65,0.045,Low
11-9013,1311,Farmers and ranchers,0.01,0.4,0.6,0.7,Manual/judgment mix; low LMIC automation risk,Low,Sub-Saharan Africa,0.65,0.007,Low
11-9041,1324,Engineering managers,0.017,0.15,0.9,0.2,,Low,Sub-Saharan Africa,0.65,0.011,Low
11-9111,1219,Medical and health services managers,0.036,0.2,0.85,0.15,,Low,Sub-Saharan Africa,0.65,0.023,Low
15-1131,2512,Computer programmers,0.48,0.3,0.9,0.05,Routine coding automatable; creative design less so,Medium,Sub-Saharan Africa,0.65,0.312,Medium
15-1132,2512,"Software developers, applications",0.042,0.1,0.95,0.05,High cognitive creativity; durable,Low,Sub-Saharan Africa,0.65,0.027,Low
15-1133,2512,"Software developers, systems software",0.042,0.1,0.95,0.05,,Low,Sub-Saharan Africa,0.65,0.027,Low
15-1121,2521,Computer systems analysts,0.656,0.55,0.75,0.05,Analytical but routine-heavy portions automatable,Medium,Sub-Saharan Africa,0.65,0.426,Medium
15-1141,2529,Database administrators,0.77,0.7,0.65,0.05,Routine DB tasks highly automatable,High,Sub-Saharan Africa,0.65,0.501,Medium
15-1151,2529,Computer user support specialists,0.65,0.6,0.6,0.1,Tier-1 support routinisable; high LMIC risk,Medium,Sub-Saharan Africa,0.65,0.423,Medium
17-2051,2149,Civil engineers,0.018,0.2,0.9,0.3,,Low,Sub-Saharan Africa,0.65,0.012,Low
17-2071,2151,Electrical engineers,0.15,0.25,0.88,0.25,,Low,Sub-Saharan Africa,0.65,0.098,Low
17-2141,2144,Mechanical engineers,0.01,0.2,0.9,0.3,,Low,Sub-Saharan Africa,0.65,0.007,Low
19-1011,2131,Animal scientists,0.028,0.2,0.85,0.3,,Low,Sub-Saharan Africa,0.65,0.018,Low
19-2031,2111,Atmospheric and space scientists,0.02,0.2,0.9,0.1,,Low,Sub-Saharan Africa,0.65,0.013,Low
19-3011,2632,Economists,0.43,0.4,0.85,0.05,,Medium,Sub-Saharan Africa,0.65,0.28,Low
19-3031,2634,"Clinical, counseling and school psychologists",0.004,0.1,0.85,0.15,Social intelligence bottleneck,Low,Sub-Saharan Africa,0.65,0.003,Low
19-3051,2635,Urban and regional planners,0.032,0.25,0.85,0.15,,Low,Sub-Saharan Africa,0.65,0.021,Low
19-4021,3116,Biological technicians,0.83,0.7,0.55,0.5,Lab routine tasks highly automatable,High,Sub-Saharan Africa,0.65,0.54,Medium
21-1011,2635,Substance abuse counselors,0.013,0.1,0.75,0.2,Social intelligence bottleneck,Low,Sub-Saharan Africa,0.65,0.008,Low
21-1021,2635,"Child, family, and school social workers",0.032,0.1,0.75,0.2,,Low,Sub-Saharan Africa,0.65,0.021,Low
23-1011,2611,Lawyers,0.035,0.25,0.9,0.05,,Low,Sub-Saharan Africa,0.65,0.023,Low
25-2011,2341,Preschool teachers,0.007,0.1,0.8,0.3,Social/care bottleneck; low automation globally,Low,Sub-Saharan Africa,0.65,0.005,Low
25-2021,2341,Elementary school teachers,0.009,0.1,0.9,0.2,,Low,Sub-Saharan Africa,0.65,0.006,Low
25-2022,2342,Middle school teachers,0.009,0.1,0.9,0.2,,Low,Sub-Saharan Africa,0.65,0.006,Low
25-2031,2330,Secondary school teachers,0.009,0.1,0.9,0.2,,Low,Sub-Saharan Africa,0.65,0.006,Low
25-3011,2359,Adult literacy instructors,0.55,0.45,0.7,0.15,,Medium,Sub-Saharan Africa,0.65,0.358,Medium
27-1011,2651,Art directors,0.023,0.1,0.9,0.1,Creative intelligence bottleneck,Low,Sub-Saharan Africa,0.65,0.015,Low
27-1014,2651,Multimedia artists and animators,0.042,0.15,0.88,0.1,,Low,Sub-Saharan Africa,0.65,0.027,Low
27-2012,2652,Producers and directors,0.012,0.1,0.9,0.1,,Low,Sub-Saharan Africa,0.65,0.008,Low
27-3011,2641,Radio and television announcers,0.83,0.65,0.5,0.1,Routine broadcast tasks highly automatable,High,Sub-Saharan Africa,0.65,0.54,Medium
27-3031,2641,Public relations specialists,0.18,0.25,0.8,0.05,,Low,Sub-Saharan Africa,0.65,0.117,Low
27-3041,2642,Editors,0.056,0.3,0.85,0.05,,Low,Sub-Saharan Africa,0.65,0.036,Low
27-4011,3521,Audio and video equipment technicians,0.29,0.45,0.6,0.4,,Low,Sub-Saharan Africa,0.65,0.188,Low
29-1011,2212,"Internists, general",0.004,0.1,0.9,0.4,Clinical judgment bottleneck,Low,Sub-Saharan Africa,0.65,0.003,Low
29-1051,2211,Family and general practitioners,0.004,0.1,0.9,0.4,,Low,Sub-Saharan Africa,0.65,0.003,Low
29-1111,2221,Registered nurses,0.009,0.15,0.8,0.5,Social/care bottleneck,Low,Sub-Saharan Africa,0.65,0.006,Low
29-1141,2221,Registered nurses (duplicated group),0.009,0.15,0.8,0.5,,Low,Sub-Saharan Africa,0.65,0.006,Low
29-2011,3213,Medical and clinical laboratory technologists,0.45,0.55,0.65,0.4,Routine lab tasks automatable,Medium,Sub-Saharan Africa,0.65,0.293,Low
29-2012,3213,Medical and clinical laboratory technicians,0.69,0.65,0.55,0.4,Higher routine share than technologists,Medium,Sub-Saharan Africa,0.65,0.448,Medium
29-2021,3211,Dental hygienists,0.19,0.3,0.7,0.55,,Low,Sub-Saharan Africa,0.65,0.124,Low
29-2032,3212,Diagnostic medical sonographers,0.65,0.6,0.65,0.3,,Medium,Sub-Saharan Africa,0.65,0.423,Medium
29-2052,3212,Pharmacy technicians,0.92,0.85,0.4,0.35,Highly routinised dispensing tasks,High,Sub-Saharan Africa,0.65,0.598,Medium
29-2061,3212,Licensed practical and vocational nurses,0.098,0.2,0.7,0.55,,Low,Sub-Saharan Africa,0.65,0.064,Low
29-9011,3259,Occupational health and safety specialists,0.014,0.2,0.8,0.3,,Low,Sub-Saharan Africa,0.65,0.009,Low
31-1011,5321,Home health aides,0.35,0.3,0.5,0.65,Physical care tasks hard to automate in LMIC,Medium,Sub-Saharan Africa,0.65,0.227,Low
31-9091,3211,Dental assistants,0.67,0.6,0.55,0.55,,Medium,Sub-Saharan Africa,0.65,0.436,Medium
31-9092,3212,Medical assistants,0.73,0.65,0.55,0.4,,High,Sub-Saharan Africa,0.65,0.474,Medium
43-1011,4110,First-line supervisors of office workers,0.27,0.4,0.7,0.1,,Low,Sub-Saharan Africa,0.65,0.176,Low
43-2011,4224,Switchboard operators,0.96,0.9,0.25,0.05,Near-fully automatable,High,Sub-Saharan Africa,0.65,0.624,Medium
43-3011,4214,Bill and account collectors,0.899,0.85,0.35,0.05,Rule-based collections highly automatable,High,Sub-Saharan Africa,0.65,0.584,Medium
43-3021,4312,Billing and posting clerks,0.96,0.9,0.25,0.05,,High,Sub-Saharan Africa,0.65,0.624,Medium
43-3031,4312,"Bookkeeping, accounting clerks",0.98,0.92,0.3,0.05,Very high routine; automation likely soon,High,Sub-Saharan Africa,0.65,0.637,Medium
43-3051,4132,Payroll and timekeeping clerks,0.97,0.9,0.3,0.05,,High,Sub-Saharan Africa,0.65,0.63,Medium
43-3071,4212,Tellers,0.98,0.92,0.25,0.1,Already displaced by ATMs in urban areas,High,Sub-Saharan Africa,0.65,0.637,Medium
43-4031,4221,"Court, municipal, and license clerks",0.97,0.9,0.3,0.05,,High,Sub-Saharan Africa,0.65,0.63,Medium
43-4051,4115,Customer service representatives,0.55,0.65,0.45,0.05,Chat automation rising; LMIC voice support remains,Medium,Sub-Saharan Africa,0.65,0.358,Medium
43-4061,4132,"Eligibility interviewers, government",0.96,0.88,0.35,0.05,,High,Sub-Saharan Africa,0.65,0.624,Medium
43-4071,4419,File clerks,0.976,0.92,0.2,0.15,,High,Sub-Saharan Africa,0.65,0.634,Medium
43-4111,4221,"Interviewers, except eligibility",0.92,0.82,0.35,0.05,,High,Sub-Saharan Africa,0.65,0.598,Medium
43-4151,4131,Order clerks,0.98,0.92,0.2,0.05,,High,Sub-Saharan Africa,0.65,0.637,Medium
43-4161,4416,Human resources assistants,0.9,0.8,0.4,0.05,,High,Sub-Saharan Africa,0.65,0.585,Medium
43-5011,4321,Cargo and freight agents,0.9,0.82,0.35,0.1,,High,Sub-Saharan Africa,0.65,0.585,Medium
43-5021,4323,Couriers and messengers,0.67,0.6,0.2,0.55,Physical delivery less automatable in LMIC,Medium,Sub-Saharan Africa,0.65,0.436,Medium
43-5031,4321,"Dispatchers, except police/fire",0.83,0.75,0.4,0.05,,High,Sub-Saharan Africa,0.65,0.54,Medium
43-5051,4321,Postal service clerks,0.95,0.88,0.25,0.2,,High,Sub-Saharan Africa,0.65,0.617,Medium
43-5061,4321,"Production, planning clerks",0.95,0.88,0.35,0.1,,High,Sub-Saharan Africa,0.65,0.617,Medium
43-5071,4323,"Shipping, receiving clerks",0.86,0.78,0.25,0.35,,High,Sub-Saharan Africa,0.65,0.559,Medium
43-5111,4323,"Weighers, measurers, checkers",0.98,0.92,0.2,0.3,,High,Sub-Saharan Africa,0.65,0.637,Medium
43-6011,4120,Executive secretaries and admin assistants,0.4,0.55,0.6,0.05,,Medium,Sub-Saharan Africa,0.65,0.26,Low
43-6012,4120,Legal secretaries,0.98,0.88,0.35,0.05,,High,Sub-Saharan Africa,0.65,0.637,Medium
43-6013,4120,Medical secretaries,0.91,0.82,0.38,0.05,,High,Sub-Saharan Africa,0.65,0.592,Medium
43-6014,4120,Secretaries and admin assistants,0.96,0.88,0.3,0.05,,High,Sub-Saharan Africa,0.65,0.624,Medium
43-9011,4312,Computer operators,0.98,0.92,0.28,0.05,,High,Sub-Saharan Africa,0.65,0.637,Medium
43-9021,4131,Data entry keyers,0.99,0.95,0.15,0.05,Highest routine; near-certain automation,High,Sub-Saharan Africa,0.65,0.644,Medium
43-9041,4212,Insurance claims clerks,0.98,0.92,0.25,0.05,,High,Sub-Saharan Africa,0.65,0.637,Medium
43-9051,4419,Mail clerks and mail machine operators,0.98,0.9,0.2,0.25,,High,Sub-Saharan Africa,0.65,0.637,Medium
43-9061,4131,"Office clerks, general",0.96,0.88,0.28,0.1,,High,Sub-Saharan Africa,0.65,0.624,Medium
43-9071,4419,"Office machine operators, except computer",0.97,0.9,0.2,0.2,,High,Sub-Saharan Africa,0.65,0.63,Medium
43-9111,4131,Statistical assistants,0.76,0.7,0.5,0.05,,High,Sub-Saharan Africa,0.65,0.494,Medium
35-1011,5120,Chefs and head cooks,0.096,0.25,0.65,0.7,Creative/manual mix; low automation in LMIC,Low,Sub-Saharan Africa,0.65,0.062,Low
35-1012,5120,"First-line supervisors, food prep",0.19,0.35,0.6,0.5,,Low,Sub-Saharan Africa,0.65,0.124,Low
35-2011,5120,"Cooks, fast food",0.81,0.75,0.25,0.65,Routine food prep highly automatable,High,Sub-Saharan Africa,0.65,0.527,Medium
35-2012,5120,"Cooks, institution and cafeteria",0.73,0.68,0.28,0.65,,High,Sub-Saharan Africa,0.65,0.474,Medium
35-2013,5120,"Cooks, private household",0.34,0.45,0.4,0.7,Social/domestic context protects somewhat,Medium,Sub-Saharan Africa,0.65,0.221,Low
35-2014,5120,"Cooks, restaurant",0.46,0.5,0.45,0.7,,Medium,Sub-Saharan Africa,0.65,0.299,Low
35-3011,5131,Bartenders,0.77,0.68,0.35,0.55,,High,Sub-Saharan Africa,0.65,0.501,Medium
35-3021,5131,Combined food prep and serving workers,0.92,0.85,0.2,0.55,,High,Sub-Saharan Africa,0.65,0.598,Medium
35-3031,5131,Dining room and cafeteria attendants,0.67,0.62,0.2,0.55,,Medium,Sub-Saharan Africa,0.65,0.436,Medium
35-3041,5131,"Food servers, nonrestaurant",0.94,0.88,0.18,0.5,,High,Sub-Saharan Africa,0.65,0.611,Medium
35-9011,5111,Dining room and cafeteria attendants,0.67,0.62,0.2,0.55,,Medium,Sub-Saharan Africa,0.65,0.436,Medium
35-9021,5151,Dishwashers,0.64,0.6,0.1,0.7,,Medium,Sub-Saharan Africa,0.65,0.416,Medium
39-1021,5142,First-line supervisors of personal service,0.12,0.25,0.65,0.35,,Low,Sub-Saharan Africa,0.65,0.078,Low
39-2011,5164,Animal trainers,0.71,0.55,0.4,0.55,,High,Sub-Saharan Africa,0.65,0.461,Medium
39-3011,5141,Gaming dealers,0.99,0.95,0.15,0.2,,High,Sub-Saharan Africa,0.65,0.644,Medium
39-3021,5141,Motion picture projectionists,0.97,0.9,0.15,0.15,,High,Sub-Saharan Africa,0.65,0.63,Medium
39-4011,5163,Embalmers,0.06,0.3,0.55,0.65,Perception/manipulation bottleneck,Low,Sub-Saharan Africa,0.65,0.039,Low
39-4021,5163,Funeral attendants,0.3,0.4,0.4,0.5,,Medium,Sub-Saharan Africa,0.65,0.195,Low
39-5011,5141,Barbers,0.11,0.25,0.35,0.8,Manual dexterity/social; low LMIC automation risk,Low,Sub-Saharan Africa,0.65,0.072,Low
39-5012,5141,"Hairdressers, hairstylists, cosmetologists",0.11,0.22,0.38,0.8,,Low,Sub-Saharan Africa,0.65,0.072,Low
39-5091,5141,"Makeup artists, theatrical and performance",0.06,0.2,0.5,0.8,,Low,Sub-Saharan Africa,0.65,0.039,Low
39-5092,5141,Manicurists and pedicurists,0.34,0.4,0.25,0.8,,Medium,Sub-Saharan Africa,0.65,0.221,Low
39-5093,5141,Shampooers,0.84,0.78,0.15,0.6,,High,Sub-Saharan Africa,0.65,0.546,Medium
39-5094,5141,Skin care specialists,0.38,0.42,0.4,0.7,,Medium,Sub-Saharan Africa,0.65,0.247,Low
39-6011,5111,Concierges,0.53,0.5,0.5,0.2,,Medium,Sub-Saharan Africa,0.65,0.344,Medium
39-6012,5111,Baggage porters and bellhops,0.75,0.65,0.2,0.65,,High,Sub-Saharan Africa,0.65,0.488,Medium
39-7011,5113,Tour guides,0.21,0.28,0.6,0.3,,Low,Sub-Saharan Africa,0.65,0.136,Low
39-9011,5322,Childcare workers,0.08,0.15,0.6,0.55,Care/social bottleneck; low LMIC automation,Low,Sub-Saharan Africa,0.65,0.052,Low
39-9021,5322,Personal care aides,0.35,0.3,0.5,0.65,,Medium,Sub-Saharan Africa,0.65,0.227,Low
39-9031,5152,Fitness trainers and aerobics instructors,0.143,0.22,0.6,0.7,,Low,Sub-Saharan Africa,0.65,0.093,Low
39-9032,5153,Recreation workers,0.28,0.35,0.55,0.55,,Low,Sub-Saharan Africa,0.65,0.182,Low
41-2011,5220,Cashiers,0.97,0.92,0.18,0.25,Self-checkout automation spreading,High,Sub-Saharan Africa,0.65,0.63,Medium
41-2021,5220,Counter and rental clerks,0.9,0.85,0.22,0.2,,High,Sub-Saharan Africa,0.65,0.585,Medium
41-2022,5220,Parts salespersons,0.77,0.7,0.35,0.2,,High,Sub-Saharan Africa,0.65,0.501,Medium
41-2031,5220,Retail salespersons,0.92,0.82,0.28,0.3,Online retail automation displacing in urban LMIC,High,Sub-Saharan Africa,0.65,0.598,Medium
41-3011,3321,Advertising sales agents,0.54,0.5,0.6,0.05,,Medium,Sub-Saharan Africa,0.65,0.351,Medium
41-3021,3322,Insurance sales agents,0.92,0.82,0.45,0.05,,High,Sub-Saharan Africa,0.65,0.598,Medium
41-3031,3311,"Securities, commodities, financial agents",0.54,0.55,0.7,0.05,,Medium,Sub-Saharan Africa,0.65,0.351,Medium
41-3041,3321,Travel agents,0.99,0.95,0.35,0.05,Near-fully automated by online platforms,High,Sub-Saharan Africa,0.65,0.644,Medium
41-9011,3321,Demonstrators and product promoters,0.4,0.5,0.4,0.25,,Medium,Sub-Saharan Africa,0.65,0.26,Low
41-9021,5223,Real estate brokers,0.86,0.72,0.5,0.1,,High,Sub-Saharan Africa,0.65,0.559,Medium
41-9022,5223,Real estate sales agents,0.97,0.85,0.4,0.1,,High,Sub-Saharan Africa,0.65,0.63,Medium
41-9041,3321,Telemarketers,0.99,0.95,0.2,0.05,Automated by IVR/chatbots; already high LMIC risk,High,Sub-Saharan Africa,0.65,0.644,Medium
45-1011,6111,First-line supervisors of farming workers,0.097,0.3,0.65,0.6,Judgment in irregular tasks protects,Low,Sub-Saharan Africa,0.65,0.063,Low
45-2011,6111,Agricultural inspectors,0.55,0.55,0.6,0.45,,Medium,Sub-Saharan Africa,0.65,0.358,Medium
