country,iso3,region,subregion,sector,fo_base_score,lmic_calibrated_score,calibration_factor,risk_label_global,risk_label_lmic,task_routine,task_cognitive,task_manual,informal_economy_pct,internet_penetration_pct,avg_wage_usd_month,source
Ghana,GHA,Sub-Saharan Africa,West Africa,agriculture,0.68,0.309,0.65,High,Medium,0.72,0.28,0.88,68.4,53.0,280,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Ghana,GHA,Sub-Saharan Africa,West Africa,trade_retail,0.89,0.434,0.65,High,Medium,0.82,0.32,0.42,68.4,53.0,280,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Ghana,GHA,Sub-Saharan Africa,West Africa,construction,0.71,0.461,0.65,High,Medium,0.64,0.28,0.88,68.4,53.0,280,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Ghana,GHA,Sub-Saharan Africa,West Africa,ict_services,0.38,0.304,0.65,Medium,Medium,0.28,0.88,0.15,68.4,53.0,280,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Ghana,GHA,Sub-Saharan Africa,West Africa,manufacturing,0.88,0.572,0.65,High,Medium,0.86,0.22,0.78,68.4,53.0,280,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Ghana,GHA,Sub-Saharan Africa,West Africa,health_social,0.18,0.117,0.65,Low,Low,0.22,0.82,0.58,68.4,53.0,280,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Ghana,GHA,Sub-Saharan Africa,West Africa,transport,0.78,0.507,0.65,High,Medium,0.7,0.32,0.72,68.4,53.0,280,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Ghana,GHA,Sub-Saharan Africa,West Africa,financial_svcs,0.72,0.468,0.65,High,Medium,0.76,0.62,0.08,68.4,53.0,280,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Ghana,GHA,Sub-Saharan Africa,West Africa,education,0.02,0.013,0.65,Low,Low,0.12,0.9,0.22,68.4,53.0,280,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Ghana,GHA,Sub-Saharan Africa,West Africa,domestic_svcs,0.28,0.182,0.65,Low,Low,0.32,0.28,0.8,68.4,53.0,280,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Nigeria,NGA,Sub-Saharan Africa,West Africa,agriculture,0.68,0.295,0.62,High,Low,0.72,0.28,0.88,74.2,35.0,220,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Nigeria,NGA,Sub-Saharan Africa,West Africa,trade_retail,0.89,0.414,0.62,High,Medium,0.82,0.32,0.42,74.2,35.0,220,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Nigeria,NGA,Sub-Saharan Africa,West Africa,construction,0.71,0.44,0.62,High,Medium,0.64,0.28,0.88,74.2,35.0,220,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Nigeria,NGA,Sub-Saharan Africa,West Africa,ict_services,0.38,0.293,0.62,Medium,Low,0.28,0.88,0.15,74.2,35.0,220,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Nigeria,NGA,Sub-Saharan Africa,West Africa,manufacturing,0.88,0.546,0.62,High,Medium,0.86,0.22,0.78,74.2,35.0,220,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Nigeria,NGA,Sub-Saharan Africa,West Africa,health_social,0.18,0.112,0.62,Low,Low,0.22,0.82,0.58,74.2,35.0,220,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Nigeria,NGA,Sub-Saharan Africa,West Africa,transport,0.78,0.484,0.62,High,Medium,0.7,0.32,0.72,74.2,35.0,220,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Nigeria,NGA,Sub-Saharan Africa,West Africa,financial_svcs,0.72,0.446,0.62,High,Medium,0.76,0.62,0.08,74.2,35.0,220,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Nigeria,NGA,Sub-Saharan Africa,West Africa,education,0.02,0.012,0.62,Low,Low,0.12,0.9,0.22,74.2,35.0,220,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Nigeria,NGA,Sub-Saharan Africa,West Africa,domestic_svcs,0.28,0.174,0.62,Low,Low,0.32,0.28,0.8,74.2,35.0,220,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Senegal,SEN,Sub-Saharan Africa,West Africa,agriculture,0.68,0.281,0.59,High,Low,0.72,0.28,0.88,76.1,46.0,190,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Senegal,SEN,Sub-Saharan Africa,West Africa,trade_retail,0.89,0.394,0.59,High,Medium,0.82,0.32,0.42,76.1,46.0,190,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Senegal,SEN,Sub-Saharan Africa,West Africa,construction,0.71,0.419,0.59,High,Medium,0.64,0.28,0.88,76.1,46.0,190,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Senegal,SEN,Sub-Saharan Africa,West Africa,ict_services,0.38,0.281,0.59,Medium,Low,0.28,0.88,0.15,76.1,46.0,190,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Senegal,SEN,Sub-Saharan Africa,West Africa,manufacturing,0.88,0.426,0.59,High,Medium,0.86,0.22,0.78,76.1,46.0,190,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Senegal,SEN,Sub-Saharan Africa,West Africa,health_social,0.18,0.106,0.59,Low,Low,0.22,0.82,0.58,76.1,46.0,190,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Senegal,SEN,Sub-Saharan Africa,West Africa,transport,0.78,0.46,0.59,High,Medium,0.7,0.32,0.72,76.1,46.0,190,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Senegal,SEN,Sub-Saharan Africa,West Africa,financial_svcs,0.72,0.425,0.59,High,Medium,0.76,0.62,0.08,76.1,46.0,190,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Senegal,SEN,Sub-Saharan Africa,West Africa,education,0.02,0.012,0.59,Low,Low,0.12,0.9,0.22,76.1,46.0,190,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Senegal,SEN,Sub-Saharan Africa,West Africa,domestic_svcs,0.28,0.165,0.59,Low,Low,0.32,0.28,0.8,76.1,46.0,190,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Côte d'Ivoire,CIV,Sub-Saharan Africa,West Africa,agriculture,0.68,0.286,0.6,High,Low,0.72,0.28,0.88,77.8,36.0,210,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Côte d'Ivoire,CIV,Sub-Saharan Africa,West Africa,trade_retail,0.89,0.401,0.6,High,Medium,0.82,0.32,0.42,77.8,36.0,210,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Côte d'Ivoire,CIV,Sub-Saharan Africa,West Africa,construction,0.71,0.426,0.6,High,Medium,0.64,0.28,0.88,77.8,36.0,210,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Côte d'Ivoire,CIV,Sub-Saharan Africa,West Africa,ict_services,0.38,0.285,0.6,Medium,Low,0.28,0.88,0.15,77.8,36.0,210,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Côte d'Ivoire,CIV,Sub-Saharan Africa,West Africa,manufacturing,0.88,0.528,0.6,High,Medium,0.86,0.22,0.78,77.8,36.0,210,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Côte d'Ivoire,CIV,Sub-Saharan Africa,West Africa,health_social,0.18,0.108,0.6,Low,Low,0.22,0.82,0.58,77.8,36.0,210,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Côte d'Ivoire,CIV,Sub-Saharan Africa,West Africa,transport,0.78,0.468,0.6,High,Medium,0.7,0.32,0.72,77.8,36.0,210,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Côte d'Ivoire,CIV,Sub-Saharan Africa,West Africa,financial_svcs,0.72,0.432,0.6,High,Medium,0.76,0.62,0.08,77.8,36.0,210,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Côte d'Ivoire,CIV,Sub-Saharan Africa,West Africa,education,0.02,0.012,0.6,Low,Low,0.12,0.9,0.22,77.8,36.0,210,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Côte d'Ivoire,CIV,Sub-Saharan Africa,West Africa,domestic_svcs,0.28,0.168,0.6,Low,Low,0.32,0.28,0.8,77.8,36.0,210,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Mali,MLI,Sub-Saharan Africa,West Africa,agriculture,0.68,0.248,0.52,High,Low,0.72,0.28,0.88,82.1,16.0,140,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Mali,MLI,Sub-Saharan Africa,West Africa,trade_retail,0.89,0.347,0.52,High,Medium,0.82,0.32,0.42,82.1,16.0,140,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Mali,MLI,Sub-Saharan Africa,West Africa,construction,0.71,0.369,0.52,High,Medium,0.64,0.28,0.88,82.1,16.0,140,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Mali,MLI,Sub-Saharan Africa,West Africa,ict_services,0.38,0.255,0.52,Medium,Low,0.28,0.88,0.15,82.1,16.0,140,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Mali,MLI,Sub-Saharan Africa,West Africa,manufacturing,0.88,0.375,0.52,High,Medium,0.86,0.22,0.78,82.1,16.0,140,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Mali,MLI,Sub-Saharan Africa,West Africa,health_social,0.18,0.094,0.52,Low,Low,0.22,0.82,0.58,82.1,16.0,140,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Mali,MLI,Sub-Saharan Africa,West Africa,transport,0.78,0.406,0.52,High,Medium,0.7,0.32,0.72,82.1,16.0,140,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Mali,MLI,Sub-Saharan Africa,West Africa,financial_svcs,0.72,0.374,0.52,High,Medium,0.76,0.62,0.08,82.1,16.0,140,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
