country,iso3,iso_num,region,subregion,year,pct_no_education,pct_primary,pct_secondary,pct_post_secondary,youth_pop_thousands,scenario,age_group,source,pct_secondary_plus,skill_gap_index,exposed_youth_thousands
Ghana,GHA,288,Sub-Saharan Africa,West Africa,2020,12.4,21.3,57.8,8.5,8420,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",66.3,33.7,2838.0
Ghana,GHA,288,Sub-Saharan Africa,West Africa,2025,9.1,18.7,62.1,10.1,9150,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",72.2,27.799999999999997,2544.0
Ghana,GHA,288,Sub-Saharan Africa,West Africa,2030,6.8,15.9,65.4,11.9,9840,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",77.30000000000001,22.7,2234.0
Ghana,GHA,288,Sub-Saharan Africa,West Africa,2035,4.9,13.2,67.8,14.1,10420,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",81.89999999999999,18.1,1886.0
Nigeria,NGA,566,Sub-Saharan Africa,West Africa,2020,22.4,28.1,43.2,6.3,82600,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",49.5,50.5,41713.0
Nigeria,NGA,566,Sub-Saharan Africa,West Africa,2025,18.1,25.4,48.9,7.6,92800,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",56.5,43.5,40368.0
Nigeria,NGA,566,Sub-Saharan Africa,West Africa,2030,14.2,22.4,54.1,9.3,103400,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",63.400000000000006,36.599999999999994,37844.0
Nigeria,NGA,566,Sub-Saharan Africa,West Africa,2035,10.8,19.2,59.0,11.0,114200,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",70.0,30.0,34260.0
Senegal,SEN,686,Sub-Saharan Africa,West Africa,2020,28.4,26.8,39.2,5.6,6840,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",44.800000000000004,55.2,3776.0
Senegal,SEN,686,Sub-Saharan Africa,West Africa,2025,23.1,24.6,45.4,6.9,7620,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",52.3,47.7,3635.0
Senegal,SEN,686,Sub-Saharan Africa,West Africa,2030,18.2,22.1,51.4,8.3,8440,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",59.7,40.3,3401.0
Senegal,SEN,686,Sub-Saharan Africa,West Africa,2035,13.8,19.6,57.2,10.0,9260,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",67.2,33.400000000000006,3093.0
Côte d'Ivoire,CIV,384,Sub-Saharan Africa,West Africa,2020,26.8,28.4,38.8,6.0,9840,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",44.8,55.2,5432.0
Côte d'Ivoire,CIV,384,Sub-Saharan Africa,West Africa,2025,21.6,25.8,44.8,7.8,11020,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",52.599999999999994,47.400000000000006,5223.0
Côte d'Ivoire,CIV,384,Sub-Saharan Africa,West Africa,2030,16.8,22.9,50.8,9.5,12260,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",60.3,39.7,4867.0
Côte d'Ivoire,CIV,384,Sub-Saharan Africa,West Africa,2035,12.4,20.1,56.6,11.0,13480,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",67.6,32.5,4381.0
Mali,MLI,466,Sub-Saharan Africa,West Africa,2020,48.2,26.4,22.1,3.3,8840,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",25.400000000000002,74.6,6595.0
Mali,MLI,466,Sub-Saharan Africa,West Africa,2025,41.6,25.2,28.4,4.8,10260,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",33.199999999999996,66.8,6854.0
Mali,MLI,466,Sub-Saharan Africa,West Africa,2030,34.8,24.1,34.6,6.5,11980,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",41.1,58.9,7056.0
Mali,MLI,466,Sub-Saharan Africa,West Africa,2035,28.2,22.8,40.8,8.2,13860,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",49.0,51.0,7069.0
Guinea,GIN,324,Sub-Saharan Africa,West Africa,2020,54.6,22.8,19.8,2.8,5420,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",22.6,77.4,4195.0
